Date,^GSPC,^IXIC,^DJI
2003-09-26,996.8499755859375,1792.0699462890625,9313.080078125
2003-09-29,1006.5800170898438,1824.56005859375,9380.240234375
2003-09-30,995.969970703125,1786.93994140625,9275.0595703125
2003-10-01,1018.219970703125,1832.25,9469.2001953125
2003-10-02,1020.239990234375,1836.219970703125,9487.7998046875
2003-10-03,1029.8499755859375,1880.5699462890625,9572.3095703125
2003-10-06,1034.3499755859375,1893.4599609375,9594.98046875
2003-10-07,1039.25,1907.8499755859375,9654.6103515625
2003-10-08,1033.780029296875,1893.780029296875,9630.900390625
2003-10-09,1038.72998046875,1911.9000244140625,9680.009765625
2003-10-10,1038.06005859375,1915.31005859375,9674.6796875
2003-10-13,1045.3499755859375,1933.530029296875,9764.3798828125
2003-10-14,1049.47998046875,1943.18994140625,9812.98046875
2003-10-15,1046.760009765625,1939.0999755859375,9803.0498046875
2003-10-16,1050.0699462890625,1950.1400146484375,9791.7197265625
2003-10-17,1039.3199462890625,1912.3599853515625,9721.7900390625
2003-10-20,1044.6800537109375,1925.1400146484375,9777.9404296875
2003-10-21,1046.030029296875,1940.9000244140625,9747.6396484375
2003-10-22,1030.3599853515625,1898.0699462890625,9598.240234375
2003-10-23,1033.77001953125,1885.510009765625,9613.1298828125
2003-10-24,1028.9100341796875,1865.5899658203125,9582.4599609375
2003-10-27,1031.1300048828125,1882.9100341796875,9608.16015625
2003-10-28,1046.7900390625,1932.260009765625,9748.3095703125
2003-10-29,1048.1099853515625,1936.56005859375,9774.5302734375
2003-10-30,1046.93994140625,1932.68994140625,9786.6103515625
2003-10-31,1050.7099609375,1932.2099609375,9801.1201171875
2003-11-03,1059.02001953125,1967.699951171875,9858.4599609375
2003-11-04,1053.25,1957.969970703125,9838.830078125
2003-11-05,1051.81005859375,1959.3699951171875,9820.830078125
2003-11-06,1058.050048828125,1976.3699951171875,9856.9697265625
2003-11-07,1053.2099609375,1970.739990234375,9809.7900390625
2003-11-10,1047.1099853515625,1941.6400146484375,9756.5302734375
2003-11-11,1046.5699462890625,1930.75,9737.7900390625
2003-11-12,1058.530029296875,1973.1099853515625,9848.830078125
2003-11-13,1058.4100341796875,1967.3499755859375,9837.9404296875
2003-11-14,1050.3499755859375,1930.260009765625,9768.6796875
2003-11-17,1043.6300048828125,1909.6099853515625,9710.830078125
2003-11-18,1034.1500244140625,1881.75,9624.16015625
2003-11-19,1042.43994140625,1899.6500244140625,9690.4599609375
2003-11-20,1033.6500244140625,1881.9200439453125,9619.419921875
2003-11-21,1035.280029296875,1893.8800048828125,9628.5302734375
2003-11-24,1052.0799560546875,1947.1400146484375,9747.7900390625
2003-11-25,1053.8900146484375,1943.0400390625,9763.9404296875
2003-11-26,1058.449951171875,1953.31005859375,9779.5703125
2003-11-28,1058.199951171875,1960.260009765625,9782.4599609375
2003-12-01,1070.1199951171875,1989.8199462890625,9899.0498046875
2003-12-02,1066.6199951171875,1980.0699462890625,9853.6396484375
2003-12-03,1064.72998046875,1960.25,9873.419921875
2003-12-04,1069.719970703125,1968.800048828125,9930.8203125
2003-12-05,1061.5,1937.8199462890625,9862.6796875
2003-12-08,1069.300048828125,1948.8499755859375,9965.26953125
2003-12-09,1060.1800537109375,1908.3199462890625,9923.419921875
2003-12-10,1059.050048828125,1904.6500244140625,9921.8603515625
2003-12-11,1071.2099609375,1942.3199462890625,10008.16015625
2003-12-12,1074.1400146484375,1949.0,10042.16015625
2003-12-15,1068.0400390625,1918.260009765625,10022.8203125
2003-12-16,1075.1300048828125,1924.2900390625,10129.5595703125
2003-12-17,1076.47998046875,1921.3299560546875,10145.259765625
2003-12-18,1089.1800537109375,1956.1800537109375,10248.080078125
2003-12-19,1088.6600341796875,1951.02001953125,10278.2197265625
2003-12-22,1092.93994140625,1955.800048828125,10338.0
2003-12-23,1096.02001953125,1974.780029296875,10341.259765625
2003-12-24,1094.0400390625,1969.22998046875,10305.1904296875
2003-12-26,1095.8900146484375,1973.1400146484375,10324.669921875
2003-12-29,1109.47998046875,2006.47998046875,10450.0
2003-12-30,1109.6400146484375,2009.8800048828125,10425.0400390625
2003-12-31,1111.9200439453125,2003.3699951171875,10453.919921875
2004-01-02,1108.47998046875,2006.6800537109375,10409.849609375
